datetime,open,high,low,close,volume
2021-01-29 15:30:00,132.53999,133.5,131.73,131.96001,17156763
2021-01-29 15:00:00,131.63,133.22,131.63,132.5332,9829016
2021-01-29 14:30:00,131.94,132.07001,131.03,131.6301,7551565
2021-01-29 14:00:00,131.64999,132.59,131.5999,131.9399,7401448
2021-01-29 13:30:00,132.03999,132.81,131.47,131.66,10715726
2021-01-29 13:00:00,130.56,132.10001,130.3401,132.05,11063422
2021-01-29 12:30:00,131.95,132.23,130.21001,130.58771,16565670
2021-01-29 12:00:00,132.965,133.31,131.46001,131.96851,10709114
2021-01-29 11:30:00,132.17,133.05,131.2076,132.99001,13924137
2021-01-29 11:00:00,134.13,134.33,131.88,132.2,17369225
2021-01-29 10:30:00,135.09891,135.44,133.83,134.1115,8560134
2021-01-29 10:00:00,135.11011,135.59,133.89999,135.08009,10531666
2021-01-29 09:30:00,135.78,136.74001,133.78999,135.15871,21304047
2021-01-28 15:30:00,138.3084,138.55,136.7,137.09,16848552
2021-01-28 15:00:00,139.32001,139.33,138.3,138.3091,7539868
2021-01-28 14:30:00,139.8,139.85001,139.05009,139.32001,4878501
2021-01-28 14:00:00,140.22,140.34,139.03149,139.78011,8306746
2021-01-28 13:30:00,140.17999,140.53999,140.03,140.2001,4746751
2021-01-28 13:00:00,140.72,140.9201,139.89999,140.14999,6170478
2021-01-28 12:30:00,141.16,141.62,140.58,140.7,7986605
2021-01-28 12:00:00,139.07001,141.99001,139.005,141.15919,13092390
2021-01-28 11:30:00,138.96001,139.24001,138.49001,139.07001,5893934
2021-01-28 11:00:00,139.23,140.02,138.85001,138.94,8264763
2021-01-28 10:30:00,139.61,140.17,138.5201,139.22009,9105528
2021-01-28 10:00:00,138.25999,140.3385,138.0,139.6199,12498364
2021-01-28 09:30:00,139.52,140.0,138.0,138.255,24101996
2021-01-27 15:30:00,141.64,142.89,140.41,142.53,16971697
2021-01-27 15:00:00,141.76559,142.39999,141.39999,141.64999,7993009
2021-01-27 14:30:00,142.88,142.99001,141.25999,141.75999,10795442
2021-01-27 14:00:00,143.39999,143.99001,142.7,142.92,7445451
2021-01-27 13:30:00,143.265,143.64999,143.03999,143.395,4909032
2021-01-27 13:00:00,143.33,143.42999,142.92,143.27,5136572
2021-01-27 12:30:00,143.30099,143.39999,142.72,143.3201,4831977
2021-01-27 12:00:00,141.92,143.53999,141.77499,143.32001,6328600
2021-01-27 11:30:00,142.57001,142.88,141.84,141.92731,7471754
2021-01-27 11:00:00,143.33,143.36,142.44501,142.57001,5319332
2021-01-27 10:30:00,143.42999,143.78,142.8,143.33,6978471
2021-01-27 10:00:00,142.77991,144.3,142.77,143.46001,9990347
2021-01-27 09:30:00,143.42999,143.82001,141.44,142.77991,18428316
2021-01-26 15:30:00,143.09,143.32001,142.85001,143.185,8440824
2021-01-26 15:00:00,142.92,143.13,142.75999,143.08,3847356
2021-01-26 14:30:00,142.97,143.12,142.63,142.9101,3942473
2021-01-26 14:00:00,142.965,143.37,142.78,142.9601,4851064
2021-01-26 13:30:00,142.5,143.2,142.495,142.965,4840602
2021-01-26 13:00:00,142.21069,142.66,142.03999,142.5005,3290787
2021-01-26 12:30:00,142.395,142.405,141.92999,142.2,3339694
2021-01-26 12:00:00,141.92999,142.45,141.91,142.405,5057875
2021-01-26 11:30:00,142.31,142.44,141.83,141.92,4789974
2021-01-26 11:00:00,142.69,143.17999,142.24001,142.33,6985877
2021-01-26 10:30:00,142.2224,142.7,141.92,142.69991,7322769
2021-01-26 10:00:00,143.03999,143.22,141.89,142.2121,8674894
2021-01-26 09:30:00,144.04939,144.3,141.37,143.05,21453033
2021-01-25 15:30:00,142.061,143.13,141.99001,142.92,9851226
2021-01-25 15:00:00,142.69501,142.77,141.75,142.07001,6589338
2021-01-25 14:30:00,142.58,143.0,142.4615,142.69679,4759849
2021-01-25 14:00:00,142.67,142.8391,141.78999,142.582,5014424
2021-01-25 13:30:00,142.9915,143.1342,142.3,142.66,6204079
2021-01-25 13:00:00,142.42999,143.28999,142.1601,142.9899,7039771
2021-01-25 12:30:00,141.17999,142.83,141.05,142.41901,7467291
2021-01-25 12:00:00,142.60001,142.95,140.91,141.1799,8980236
2021-01-25 11:30:00,141.22,142.77,141.1701,142.59,9968335
2021-01-25 11:00:00,141.09,141.89999,136.53999,141.22,23608710
2021-01-25 10:30:00,144.24001,144.32001,140.88,141.13,13477943
2021-01-25 10:00:00,144.94,144.99001,143.88,144.2249,11885879
2021-01-25 09:30:00,143.07001,145.08,142.9398,144.935,34469325
2021-01-22 15:30:00,139.367,139.85001,138.92999,138.96989,13383715
2021-01-22 15:00:00,139.095,139.44,138.63,139.36301,8754002
2021-01-22 14:30:00,138.425,139.19,138.38499,139.09,6475368
2021-01-22 14:00:00,137.99921,138.49001,137.88,138.425,4649805
2021-01-22 13:30:00,138.005,138.32001,137.87,137.99001,4857787
2021-01-22 13:00:00,137.9772,138.17,137.74001,138.005,4202837
2021-01-22 12:30:00,138.10001,138.12,137.71001,137.97501,5274313
2021-01-22 12:00:00,137.35001,138.17,137.2,138.10001,7704348
2021-01-22 11:30:00,137.24899,137.47,136.9501,137.35001,4770657
2021-01-22 11:00:00,136.87,137.52,136.81,137.24001,7342937
2021-01-22 10:30:00,136.62,136.91,136.02,136.88,7465744
2021-01-22 10:00:00,137.38,137.66,136.50999,136.61501,9749533
2021-01-22 09:30:00,136.25,137.57001,135.02,137.34,20176930
2021-01-21 15:30:00,136.83,137.34,136.78999,136.87,12785596
2021-01-21 15:00:00,136.535,136.99001,136.45,136.8299,5648724
2021-01-21 14:30:00,136.56081,136.7,136.36,136.535,4022806
2021-01-21 14:00:00,136.12399,136.64999,136.095,136.56,4482658
2021-01-21 13:30:00,136.23,136.48,135.9131,136.125,4913020
2021-01-21 13:00:00,136.17,136.3342,136.09,136.22,3532137
2021-01-21 12:30:00,135.86,136.2,135.63,136.16499,4805716
2021-01-21 12:00:00,136.07001,136.12,135.21001,135.85001,5776289
2021-01-21 11:30:00,136.17999,136.27,135.56,136.07001,6050097
2021-01-21 11:00:00,135.985,136.38,135.84019,136.18179,7488102
2021-01-21 10:30:00,135.8593,136.35001,135.35001,135.98,9865604
2021-01-21 10:00:00,134.86,135.98,134.8,135.8596,13502585
2021-01-21 09:30:00,133.82001,135.08,133.59,134.87801,24903317
2021-01-20 15:30:00,132.17999,132.46001,131.97,131.97,9212800
2021-01-20 15:00:00,132.17999,132.3298,131.9498,132.1801,4867725
2021-01-20 14:30:00,132.19,132.49001,132.12,132.17999,4978365
2021-01-20 14:00:00,131.94,132.2,131.73,132.19479,5191830
2021-01-20 13:30:00,132.17,132.44,131.89999,131.93201,3994227
2021-01-20 13:00:00,131.87,132.21001,131.81979,132.1584,4243114
2021-01-20 12:30:00,131.97,132.02,131.67999,131.87,3636346
2021-01-20 12:00:00,132.09,132.22,131.74001,131.96001,4475196
2021-01-20 11:30:00,131.8401,132.25,131.67999,132.08501,6220893
2021-01-20 11:00:00,131.71001,131.8893,131.062,131.84171,7161397
2021-01-20 10:30:00,131.1299,131.82001,130.91,131.72,9166118
2021-01-20 10:00:00,130.0,131.2,129.8,131.12,10821628
2021-01-20 09:30:00,128.56,130.42261,128.55,129.985,16049559
2021-01-19 15:30:00,127.88,128.0,127.64,127.85,6911181
2021-01-19 15:00:00,127.9,128.13,127.77,127.875,3394995
2021-01-19 14:30:00,128.05499,128.125,127.68,127.89,3288737
